entry,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2
275,-58.76180483,8921.515853,329.1218477,6194.59572,14153655.1,48.2214542,48.7526227,-1.50278838,1.30583289,1.19652851,0.10143949,-0.109369007
276,-58.7605739,8921.51771,329.1253771,6194.59819,14153644,48.2206994,48.7501652,-1.49246061,1.29688186,1.18777705,0.10108455,-0.107927077
277,-58.75933851,8921.519572,329.1288751,6194.60068,14153633.5,48.2199362,48.747678,-1.48239151,1.28817621,1.17916199,0.10072575,-0.106286557
278,-58.75811726,8921.521377,329.132336,6194.60314,14153623,48.2191933,48.7452615,-1.47238017,1.27950885,1.17058674,0.10037617,-0.104929622
279,-58.75689679,8921.523136,329.1357666,6194.60557,14153612.3,48.2184678,48.7429051,-1.46244058,1.27089876,1.16204478,0.10003438,-0.103179623
280,-58.75566868,8921.524923,329.1392101,6194.60807,14153602.1,48.2177274,48.7404989,-1.45258263,1.26238246,1.15350872,0.09968558,-0.100837492
281,-58.75443793,8921.526699,329.1426404,6194.61057,14153591.9,48.216992,48.738111,-1.44280385,1.25396541,1.14500113,0.09933897,-0.099168377
282,-58.75320439,8921.528458,329.1460695,6194.61308,14153581.9,48.2162518,48.7357074,-1.43309839,1.24568456,1.13652435,0.09899,-0.097198089
283,-58.7519507,8921.530223,329.1495359,6194.61563,14153571.9,48.2155065,48.7332892,-1.42331495,1.23747126,1.12797977,0.09863843,-0.095662633
284,-58.75070963,8921.531948,329.15294,6194.61814,14153562.1,48.2147752,48.7309177,-1.41376289,1.22969273,1.11966039,0.09829326,-0.093335943
285,-58.74946945,8921.533658,329.1563361,6194.62067,14153552.4,48.2140445,48.7285493,-1.4042789,1.22236524,1.11149922,0.0979483,-0.09137097
286,-58.74822775,8921.535355,329.1597229,6194.62324,14153542.9,48.2133157,48.726188,-1.39486794,1.21570395,1.10362788,0.09760408,-0.089195046
287,-58.74698312,8921.53704,329.1631023,6194.62586,14153533.5,48.2125877,48.72383,-1.38552767,1.20991997,1.09633362,0.09726009,-0.087272249
288,-58.74574094,8921.538718,329.1664786,6194.62864,14153524.4,48.2118558,48.7214596,-1.3762534,1.20505736,1.09020289,0.09691426,-0.084690413
289,-58.744493,8921.540379,329.1698364,6194.63169,14153515.4,48.2111345,48.7191263,-1.36705592,1.20070456,1.08611681,0.09657317,-0.082690541
290,-58.74322578,8921.542053,329.1732417,6194.63534,14153506.8,48.2103996,48.7167487,-1.35778623,1.19565615,1.084539,0.09622554,-0.080388572
291,-58.74197242,8921.543682,329.1765848,6194.63995,14153499.3,48.2096797,48.7144216,-1.3487274,1.1886002,1.08456799,0.09588491,-0.078184522
292,-58.74079044,8921.545378,329.1799975,6194.64666,14153495.2,48.2088882,48.7118469,-1.33964918,1.17847396,1.08415903,0.09551186,-0.075359025
293,-58.73953704,8921.546986,329.1833395,6194.65672,14153499.1,48.2081587,48.7094879,-1.33071041,1.16416946,1.08205741,0.09516661,-0.073176356
294,-58.73828558,8921.548576,329.1866482,6194.67315,14153530.2,48.2074511,48.7072039,-1.32187067,1.14365114,1.07799309,0.09483143,-0.07071559
295,-58.73703577,8921.550165,329.1899612,6194.70123,14153649.4,48.2067346,48.7048898,-1.31307772,1.10814321,1.07247662,0.09449206,-0.068373885
296,-58.73577866,8921.551755,329.1932683,6194.75031,14154055.8,48.2060192,48.7025802,-1.30436035,1.0053829,1.066191,0.0941531,-0.065230921
297,-58.73450702,8921.553341,329.1966162,6194.80256,14154750.1,48.2052951,48.7002434,-1.29554537,0.3489009,1.0628754,0.09380996,-0.063054208
298,-58.73325258,8921.554901,329.1999073,6194.7357,14153840.4,48.2045827,48.6979447,-1.28698132,1.04100821,1.05565321,0.09347226,-0.060502272
299,-58.73199636,8921.556438,329.2031874,6194.69982,14153555.5,48.2038745,48.6956615,-1.27846245,1.09006987,1.04750879,0.09313646,-0.05797918
300,-58.73074486,8921.557972,329.2064631,6194.6811,14153462.1,48.203165,48.6933732,-1.26999991,1.10359449,1.03820908,0.09280002,-0.055277617
