entry,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2
138,-58.92800708,8920.807095,328.4548446,6194.23649,14156565.5,48.335869,49.1444899,-3.81606428,3.27226557,3.83991864,0.1520479,-0.076860924
139,-58.92576079,8920.820193,328.4620518,6194.24174,14156535.5,48.3351064,49.1417819,-3.79249609,3.26006542,3.82135206,0.15173141,-0.076634998
140,-58.92355124,8920.833085,328.4692053,6194.25057,14156509.2,48.3343389,49.1390568,-3.76901527,3.2410172,3.80541815,0.15141281,-0.077006544
141,-58.92139972,8920.845737,328.4763005,6194.26587,14156493.8,48.3335682,49.1363209,-3.74559371,3.21279166,3.78714845,0.15109274,-0.078121051
142,-58.91926259,8920.858273,328.4833885,6194.29319,14156512.9,48.332757,49.1334503,-3.72216746,3.17148719,3.76374264,0.15075348,-0.07802699
143,-58.91722013,8920.870362,328.4903176,6194.34121,14156640.1,48.3320263,49.1308444,-3.69898448,3.10868976,3.73595135,0.15045245,-0.078780921
144,-58.91517269,8920.882535,328.4973591,6194.42968,14157136.2,48.3312298,49.1280183,-3.67543324,2.98170895,3.70454743,0.15012092,-0.079395209
145,-58.91320323,8920.894305,328.5042397,6194.5871,14158807.8,48.3304424,49.1252246,-3.65233426,2.41016943,3.67228966,0.1497931,-0.079233556
146,-58.91130004,8920.90591,328.5110782,6194.58011,14158654.3,48.3296386,49.1223766,-3.62926926,2.463523,3.64953206,0.14945747,-0.079320891
147,-58.90929993,8920.917417,328.5179446,6194.43041,14157006.6,48.3287867,49.1193763,-3.60637706,2.93411662,3.61395254,0.14909798,-0.080369559
148,-58.90755709,8920.928407,328.524585,6194.3486,14156478.3,48.3280444,49.116723,-3.58338904,3.01784724,3.57667716,0.14879245,-0.080480342
149,-58.90574329,8920.939356,328.531262,6194.30468,14156294,48.3272437,49.1138835,-3.56059653,3.04304188,3.53584418,0.14845823,-0.080888402
150,-58.90397064,8920.95014,328.5378981,6194.28167,14156215.5,48.3264311,49.1110057,-3.53790498,3.04734449,3.4898694,0.14811814,-0.081685045
151,-58.90219741,8920.960906,328.544583,6194.27003,14156169.3,48.3256082,49.1080916,-3.51499349,3.03878696,3.43734241,0.14777369,-0.081447667
152,-58.90047571,8920.971366,328.5511242,6194.26503,14156134.4,48.3247925,49.1052053,-3.49249304,3.02144558,3.38278983,0.14743173,-0.08142139
153,-58.89879999,8920.981504,328.5576097,6194.26318,14156102.6,48.3239755,49.1023119,-3.4701041,2.99762293,3.33078402,0.14708945,-0.081999711
154,-58.89708958,8920.99168,328.5640857,6194.26345,14156072.8,48.3231347,49.0993408,-3.44788478,2.97100389,3.28539917,0.14673562,-0.082294865
155,-58.89554649,8921.001373,328.5704544,6194.26451,14156042.7,48.3223196,49.0964528,-3.4255601,2.94473511,3.24666284,0.14639417,-0.083007109
156,-58.8939766,8921.011034,328.5768005,6194.26622,14156013.3,48.3214929,49.0935282,-3.40342242,2.92081844,3.21222842,0.14604689,-0.083665365
157,-58.89236934,8921.020631,328.5831412,6194.26835,14155984.6,48.3206392,49.0905145,-3.38140862,2.89933701,3.1801378,0.14568667,-0.083406503
158,-58.89088755,8921.030072,328.5894574,6194.27059,14155955.1,48.3198187,49.0876104,-3.35911556,2.87931097,3.14901081,0.14534238,-0.083685191
159,-58.88941563,8921.039222,328.5956671,6194.27294,14155926.4,48.318983,49.0846574,-3.33723383,2.86081368,3.11913402,0.14499036,-0.084107497
160,-58.88794625,8921.048114,328.6018374,6194.27517,14155897.5,48.3181402,49.08168,-3.31548926,2.84307984,3.08983997,0.14463511,-0.084322795
161,-58.88649478,8921.057067,328.6079689,6194.27781,14155869.5,48.3172987,49.0787119,-3.29388149,2.82578892,3.06103308,0.14427946,-0.085007139
162,-58.88509261,8921.065732,328.6140504,6194.28039,14155841.3,48.3164539,49.0757306,-3.27230642,2.80869778,3.03265162,0.14392259,-0.085333816
163,-58.88356179,8921.074507,328.6203175,6194.28316,14155814.2,48.3154326,49.0721803,-3.25102989,2.79214294,3.00459899,0.14348015,-0.086029573
164,-58.88233569,8921.08263,328.6260952,6194.28578,14155785.4,48.3147536,49.0697363,-3.22949134,2.77546544,2.97723098,0.14320299,-0.085682761
165,-58.88097515,8921.090952,328.6321432,6194.28862,14155757.2,48.313889,49.0666893,-3.20789087,2.75949047,2.94992771,0.1428367,-0.0863671
166,-58.87966718,8921.099022,328.6380587,6194.29159,14155729.7,48.3130337,49.0636772,-3.18670113,2.74490538,2.92383606,0.14247399,-0.086800806
167,-58.87836772,8921.106934,328.6439354,6194.2947,14155702.3,48.3121772,49.0606619,-3.16563172,2.73202502,2.89903989,0.14211032,-0.087158141
168,-58.87710245,8921.114701,328.6497718,6194.29817,14155675.2,48.3113171,49.0576361,-3.14462573,2.72108079,2.87662937,0.14174479,-0.087506187
169,-58.87581187,8921.122339,328.6555783,6194.30214,14155648.4,48.3104534,49.0545997,-3.12378317,2.71161295,2.85842251,0.14137718,-0.088218174
170,-58.87457405,8921.129873,328.6613446,6194.30731,14155622.6,48.3095849,49.0515487,-3.10298439,2.70142399,2.84593223,0.14100703,-0.088375701
171,-58.87336933,8921.137241,328.6670629,6194.31446,14155598.2,48.3087207,49.0485115,-3.08226039,2.68731293,2.83794299,0.14063877,-0.089152298
172,-58.87216455,8921.144586,328.6728312,6194.32552,14155578.3,48.3078408,49.0454214,-3.06131995,2.66647515,2.83016764,0.14026338,-0.089196436
173,-58.87096191,8921.151709,328.6784854,6194.34326,14155573.1,48.3069686,49.0423618,-3.04084285,2.63733033,2.81915666,0.1398906,-0.089983727
174,-58.86981442,8921.158698,328.6840944,6194.37348,14155613.4,48.3060965,49.0393027,-3.02042305,2.59571597,2.80350626,0.13951769,-0.090461724
175,-58.86862918,8921.165515,328.6896779,6194.42608,14155800.4,48.3052204,49.0362315,-3.00015125,2.52805127,2.78430191,0.13914257,-0.091161081
