,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2
1499,268.2954841,14704.8272,2432.3888,1893.74319,67398.3839,366.539065,379.858859,-177.6318929,137.7111308,494.0181966,3.2845571,-6.897884605
1500,268.0623495,14704.31191,2432.651879,1893.70696,67391.6443,366.529609,379.823795,-176.7739972,137.6104427,493.6254459,3.28113103,-6.821168043
1501,268.2244639,14704.86849,2432.739582,1893.8643,67400.0835,366.543126,379.870255,-176.8888178,137.1083826,493.5097229,3.28710775,-6.808113
1502,268.1957006,14704.6741,2432.673145,1893.73959,67395.0399,366.537845,379.853458,-176.9733224,137.5964109,493.6254958,3.28451744,-6.829506719
1503,268.0802782,14704.37137,2432.735188,1893.91497,67404.6955,366.529554,379.825275,-176.6365225,136.5735958,493.6356902,3.2808855,-6.801971134
1504,268.2930675,14704.87815,2432.688416,1893.71951,67394.254,366.541388,379.86811,-177.0278617,137.569526,493.5760037,3.2856133,-6.829515388
1505,268.2794159,14705.06412,2432.452694,1893.74056,67397.7622,366.54535,379.875382,-177.7502174,137.9725206,494.1330276,3.28826134,-6.912445063
1506,268.3322472,14704.96497,2432.3668,1893.81805,67401.8825,366.54263,379.86843,-177.7499181,137.7245131,494.1320829,3.28671489,-6.905476206
1507,268.2784897,14704.71264,2432.530156,1893.82833,67404.3253,366.541622,379.860086,-177.3270581,137.1581627,493.9421889,3.28724078,-6.873882817
1508,268.4374849,14705.43591,2432.501774,1893.85614,67407.0206,366.551377,379.903698,-177.727888,137.0977861,493.9112815,3.28955114,-6.881322852
1509,268.2217255,14704.56023,2432.516869,1893.66622,67392.644,366.542774,379.863281,-177.2555403,137.7940027,493.817985,3.28792014,-6.875364095
1510,268.4707975,14705.59144,2432.41342,1893.7478,67397.7834,366.555419,379.914721,-177.8757926,138.0154905,493.8344256,3.29174117,-6.893202432
1511,268.2790167,14704.88407,2432.466502,1893.80634,67403.311,366.531807,379.834194,-177.4784591,137.603971,493.8996457,3.28147301,-6.880228107
1512,268.1003911,14704.64474,2432.777273,1893.88098,67404.4028,366.547266,379.875567,-176.8442863,136.8244197,493.6140726,3.29050826,-6.821708493
1513,268.2147385,14704.60039,2432.64438,1893.8044,67400.1501,366.52922,379.826113,-176.9486303,137.0575755,493.7411275,3.28019778,-6.833123384
