,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2,MP2,Corr_CCSD,CCSD,Corr_CCSD(T),CCSD(T),RHF
1692,45.6663537,2759.889211,411.4607635,488.094608,41995.9045,62.9570864,68.553293,-0.87374174,-14.39595171,62.77811267,1.61548393,-1.345715273,-457.6777268,-1.381846,-457.7138575,-1.416288785,-457.7483003,-456.3320115
1693,44.70553664,2758.778073,410.9265397,488.347814,42020.887,62.5673009,67.3482877,-1.4233269,-11.1388057,63.71363038,1.41301698,-1.35247778,-457.6772364,-1.3876916,-457.7124502,-1.423240025,-457.7479986,-456.3247586
1694,45.11136997,2758.11772,411.1249626,488.123155,41987.6889,62.6694167,67.6486335,-0.67440419,-12.16059107,63.18044835,1.47017975,-1.34722616,-457.6743883,-1.3832018,-457.7103639,-1.418116196,-457.7452783,-456.3271621
1695,44.45044295,2756.896924,410.7259336,488.312965,42009.3558,62.5826903,67.4174405,-1.08776187,-12.24435096,65.23513036,1.41582067,-1.353641335,-457.6714528,-1.3884727,-457.7062841,-1.424411615,-457.742223,-456.3178114
1696,45.04457393,2758.408831,411.0544256,488.18663,42002.4951,62.5915188,67.4315633,-1.07345219,-11.97729833,63.54304979,1.4242814,-1.351338563,-457.6814418,-1.3865726,-457.7166758,-1.421967407,-457.7520707,-456.3301032
1697,45.11967017,2758.143059,411.0777789,488.125028,41993.0818,62.8021805,68.0767825,-0.95078454,-13.51738274,64.28894443,1.53332592,-1.349352101,-457.6806759,-1.3850496,-457.7163734,-1.420147911,-457.7514717,-456.3313238
1698,45.02424829,2758.997151,411.0284075,488.285836,42024.0617,62.5649466,67.335971,-1.33743399,-11.50895953,63.33857258,1.41253108,-1.354611165,-457.6646799,-1.3899319,-457.7000006,-1.425680136,-457.7357488,-456.3100687
1699,44.85056075,2757.879938,411.0736167,488.190321,41986.3245,62.551784,67.2822209,-0.69363495,-11.43912755,63.0983662,1.40871167,-1.344995607,-457.681958,-1.3806618,-457.7176242,-1.415222928,-457.7521853,-456.3369624
1700,45.04944563,2758.43539,411.0303273,488.215685,42011.0416,62.5466282,67.2622095,-1.14363082,-11.35368255,63.37051908,1.40618038,-1.352218546,-457.6724616,-1.3876041,-457.7078472,-1.423055932,-457.743299,-456.3202431
1701,44.83817114,2757.253402,410.9197928,488.153111,41991.2703,62.6608879,67.6575862,-0.9078049,-12.92296027,64.75758898,1.45781432,-1.350669669,-457.6851428,-1.3857898,-457.720263,-1.421252921,-457.755726,-456.3344731
1702,44.92995804,2758.021937,410.9854161,488.173614,41996.2386,62.5247567,67.2154709,-1.11402286,-11.2927662,63.68409696,1.39085937,-1.349734357,-457.690209,-1.3852667,-457.7257414,-1.420504313,-457.760979,-456.3404747
1703,44.5020733,2757.129086,410.7307241,488.304959,42012.4646,62.6816624,67.7203218,-1.20570281,-12.82237993,65.55113229,1.4697624,-1.353946069,-457.6711557,-1.388941,-457.7061506,-1.424852889,-457.7420625,-456.3172097
1704,45.06016658,2757.79992,410.932366,488.171541,42010.9499,62.5880211,67.4190089,-1.12942406,-12.13985872,64.24588674,1.42011361,-1.356602781,-457.6804601,-1.3911489,-457.7150063,-1.427325806,-457.7511831,-456.3238573
1705,44.90877317,2760.145762,411.1453098,488.343744,42016.8883,62.6957665,67.7242588,-1.59280583,-11.94835837,63.1419363,1.48458097,-1.346163736,-457.6628244,-1.3826701,-457.6993308,-1.417371755,-457.7340324,-456.3166606
1706,45.07712157,2758.262118,411.0557862,488.189867,42004.7631,62.7112317,67.8013231,-1.10489611,-12.93181659,64.1558881,1.48698723,-1.350837097,-457.6735501,-1.3861132,-457.7088262,-1.421466817,-457.7441798,-456.322713
1707,44.95810911,2758.940698,411.0244632,488.266972,42016.3329,62.5756846,67.386765,-1.36876718,-11.27268463,63.38179328,1.41437466,-1.352990215,-457.6784705,-1.3878648,-457.713345,-1.423540925,-457.7490212,-456.3254803
1708,45.37210058,2758.907764,411.1813758,488.158176,42010.2802,62.6873643,67.7009795,-1.00491456,-12.19059565,62.94703589,1.47941914,-1.352202582,-457.6727686,-1.3877649,-457.708331,-1.423090977,-457.743657,-456.320566
