,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2,Corr_CCSD,Corr_CCSD(T),E(0),E(CCSD),ECCS(T)
668,184.5931587,5997.587717,1137.104368,758.967958,26898.8247,173.068566,183.346719,-87.73918137,64.55346159,217.2356638,2.58680092,-3.347177952,-3.477741431,-3.650069234,-922.9574589,-926.4352003,-926.6075281
669,184.6117852,5999.677357,1137.235804,758.986045,26901.8443,173.147948,183.589067,-88.56152476,65.1016337,216.5871109,2.63038185,-3.350344529,-3.479424647,-3.653095308,-922.9314975,-926.4109221,-926.5845928
670,185.2177451,5997.286298,1136.986899,758.750895,26896.0915,172.989751,183.12013,-87.61390566,64.52819868,216.7119815,2.54326674,-3.360995595,-3.488409763,-3.662981527,-922.9571227,-926.4455324,-926.6201042
671,184.9503833,5999.520082,1137.43303,758.983621,26901.5384,173.120921,183.497159,-88.15261748,64.74932842,215.9423471,2.61756665,-3.338447756,-3.471148147,-3.642796368,-922.9555784,-926.4267265,-926.5983748
672,183.7935881,5997.346424,1136.980821,759.174338,26904.9865,173.117834,183.501651,-87.85331756,64.28687387,218.1638696,2.61218637,-3.344007273,-3.473891105,-3.645219291,-922.9664694,-926.4403605,-926.6116887
673,185.0477298,5997.714466,1137.160413,758.84357,26896.1782,173.028035,183.224173,-87.68927059,64.71905907,216.6503591,2.56553945,-3.357214292,-3.485527316,-3.659484927,-922.9279131,-926.4134404,-926.5873981
674,184.6479836,5997.205109,1137.146191,759.049386,26902.8512,173.050114,183.286065,-87.42980218,64.29279168,217.1300461,2.57854086,-3.341170973,-3.47255172,-3.643618166,-922.9671164,-926.4396681,-926.6107346
675,184.4644354,5996.839211,1136.856322,758.928228,26898.5854,173.043019,183.27753,-87.72909462,64.56968359,217.8672439,2.57157958,-3.359888541,-3.486721871,-3.660819767,-922.937059,-926.4237809,-926.5978788
676,185.3564118,5998.047243,1137.139425,758.760727,26895.4619,173.033299,183.24484,-87.78696777,64.80285991,216.26947,2.56835899,-3.355901976,-3.485644981,-3.659657794,-922.9519799,-926.4376249,-926.6116377
677,184.2051307,5996.947325,1136.877898,759.03064,26901.0613,173.070436,183.363208,-87.78926787,64.38455573,218.1573576,2.58501387,-3.357306184,-3.484692328,-3.658130488,-922.9463124,-926.4310047,-926.6044429
678,184.6438949,5998.169144,1137.08226,758.940538,26901.4036,173.072819,183.368142,-88.06151773,64.59764107,217.0814916,2.58813094,-3.354447253,-3.483153956,-3.656764142,-922.9423845,-926.4255384,-926.5991486
679,184.763674,5999.644672,1137.260125,758.952163,26901.6225,173.140027,183.576586,-88.57874785,64.87195373,216.4966001,2.62417574,-3.345163925,-3.476168932,-3.649074934,-922.947222,-926.423391,-926.596297
680,187.1212444,5999.691609,1137.605946,758.469815,26894.508,172.955269,183.003457,-87.75651384,64.60091728,213.6315823,2.52926617,-3.356815968,-3.488135137,-3.663520386,-922.9325291,-926.4206642,-926.5960495
681,184.5583869,5996.944469,1136.940942,758.993496,26906.1097,173.048611,183.299908,-87.69056754,63.53809893,217.6861765,2.57467453,-3.358265121,-3.486061278,-3.659901994,-922.9407939,-926.4268552,-926.6006959
